subject_id,survey_id,image_url,data_description,galaxy_description,RA,DEC,redshift,n_class,p_smooth,p_featured,p_artifact,p_edgeon,p_notedgeon,p_spiral,p_notspiral,p_ring,p_lens,p_disturbed,p_irregular,p_other,p_merger,p_dustlane,p_clumpy,p_notclumpy
AHZ2000kdb,20068709,http://zoo-hst.s3.amazonaws.com/20068709.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,150.0543944,1.9996666,0.08,41,0.11900002881884575,0.8679999709129333,0.013,0.6523325385556779,0.05061200657934119,0.0,0.05061200657934119,0.05778,0.0,0.0,0.0,0.028676001,0.0,0.34197202,0.05815599949979777,0.8098439972815505
AHZ20019ut,20154672,http://zoo-hst.s3.amazonaws.com/20154672.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,149.82615,2.6002313,0.10,49,0.12699999520555139,0.8700000047683716,0.003,0.7387344163989545,0.0,0.0,0.0,0.021714,0.0,0.043428,0.0,0.0,0.0,0.216858,0.020880000295937062,0.8491200141954423
AHZ2001mll,20197178,http://zoo-hst.s3.amazonaws.com/20197178.jpg,the COSMOS dataset in GZ: Hubble,featured,149.8337613,2.8133144,unknown,48,0.13200002908706665,0.8679999709129333,0.0,0.4030396190969831,0.287096725116152,0.21015480086844585,0.07694192424770614,0.044588998,0.0,0.0,0.0,0.09051299,0.021894,0.11000399,0.07291199657368663,0.7950879808063505
AHZ2001r12,20114658,http://zoo-hst.s3.amazonaws.com/20114658.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,150.2693856,2.4171505,0.29,24,0.12999999895691872,0.8240000009536743,0.046,0.6069828389675302,0.03600745744209351,0.0,0.03600745744209351,0.13049999,0.0,0.0,0.0,0.0,0.0,0.0435,0.04367199953484535,0.7803280229063034
AHZ2001cx3,20164405,http://zoo-hst.s3.amazonaws.com/20164405.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.6579487,2.7835541,0.30,46,0.06800002045929432,0.9089999794960022,0.023,0.0,0.6403677264108193,0.6198759558068107,0.020491768218452933,0.162656,0.0,0.162656,0.046409998,0.069836006,0.0,0.0,0.2045249899685384,0.7044749624371534
AHZ2001mbb,20196270,http://zoo-hst.s3.amazonaws.com/20196270.jpg,the COSMOS dataset in GZ: Hubble,featured,149.9451508,2.8203826,0.10,41,0.15800002589821815,0.7889999747276306,0.053,0.14507664132843445,0.45690113185725867,0.3531845757971307,0.10371655606012797,0.1945,0.0,0.0555,0.028,0.1945,0.0,0.028,0.02603699902492762,0.7629629815812109
AHZ2000l85,20071852,http://zoo-hst.s3.amazonaws.com/20071852.jpg,the COSMOS dataset in GZ: Hubble,featured,149.880187,1.9879343,0.11,44,0.18599998950958252,0.8140000104904175,0.0,0.0922545665478417,0.5146833817389993,0.3860125363042495,0.12867084543474983,0.34077,0.022718001,0.022718001,0.046050005,0.136308,0.0,0.045436002,0.06837599995934962,0.7456240165958405
AHZ2000fq2,20052964,http://zoo-hst.s3.amazonaws.com/20052964.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,150.7237348,2.1190694,0.31,53,0.1810000091791153,0.796999990940094,0.022,0.6034485287083032,0.03176044975119307,0.0,0.03176044975119307,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.796999990940094
AHZ2000iz2,20063778,http://zoo-hst.s3.amazonaws.com/20063778.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.1947379,2.0678954,0.85,46,0.132999986410141,0.800000011920929,0.067,0.01759296051961899,0.515527062087231,0.46242778231274245,0.05309928745644041,0.0475,0.02375,0.02375,0.0,0.095,0.0,0.0,0.13359999855756755,0.6664000133633614
AHZ2000lm7,20073439,http://zoo-hst.s3.amazonaws.com/20073439.jpg,the COSMOS dataset in GZ: Hubble,featured,149.6863706,2.0470695,0.09,50,0.21300002746284008,0.765999972820282,0.021,0.0,0.48876771583252376,0.30938997204611624,0.17937775835282058,0.521676,0.065378,0.0,0.0,0.021568002,0.065378,0.0,0.12792199217367184,0.6380779806466101
